Processor, Iteration, Request, R/W, Read, Write, Access, Amount (B), Duration (ns)
0, 0, 0, 0, 0, 0, 0, 4096, 24671
0, 0, 0, 0, 1, 0, 0, 4096, 18419
0, 0, 0, 0, 2, 0, 0, 4096, 18414
0, 0, 0, 1, 0, 0, 0, 4096, 40516
0, 0, 1, 0, 0, 0, 0, 4096, 19447
0, 0, 1, 0, 1, 0, 0, 4096, 16129
0, 0, 1, 0, 2, 0, 0, 4096, 16116
0, 0, 1, 1, 0, 0, 0, 4096, 29293
0, 0, 2, 0, 0, 0, 0, 4096, 19753
0, 0, 2, 0, 1, 0, 0, 4096, 15968
0, 0, 2, 0, 2, 0, 0, 4096, 18107
0, 0, 2, 1, 0, 0, 0, 4096, 30303
0, 0, 3, 0, 0, 0, 0, 4096, 19020
0, 0, 3, 0, 1, 0, 0, 4096, 16095
0, 0, 3, 0, 2, 0, 0, 4096, 15799
0, 0, 3, 1, 0, 0, 0, 4096, 29339
0, 0, 4, 0, 0, 0, 0, 4096, 19091
0, 0, 4, 0, 1, 0, 0, 4096, 16078
0, 0, 4, 0, 2, 0, 0, 4096, 16195
0, 0, 4, 1, 0, 0, 0, 4096, 35218
0, 1, 0, 0, 0, 0, 0, 4096, 18841
0, 1, 0, 0, 1, 0, 0, 4096, 16170
0, 1, 0, 0, 2, 0, 0, 4096, 90785
0, 1, 0, 1, 0, 0, 0, 4096, 31450
0, 1, 1, 0, 0, 0, 0, 4096, 19452
0, 1, 1, 0, 1, 0, 0, 4096, 17381
0, 1, 1, 0, 2, 0, 0, 4096, 18217
0, 1, 1, 1, 0, 0, 0, 4096, 33678
0, 1, 2, 0, 0, 0, 0, 4096, 41829
0, 1, 2, 0, 1, 0, 0, 4096, 20503
0, 1, 2, 0, 2, 0, 0, 4096, 32811
0, 1, 2, 1, 0, 0, 0, 4096, 29045
0, 1, 3, 0, 0, 0, 0, 4096, 39441
0, 1, 3, 0, 1, 0, 0, 4096, 20470
0, 1, 3, 0, 2, 0, 0, 4096, 32385
0, 1, 3, 1, 0, 0, 0, 4096, 29253
0, 1, 4, 0, 0, 0, 0, 4096, 19450
0, 1, 4, 0, 1, 0, 0, 4096, 20519
0, 1, 4, 0, 2, 0, 0, 4096, 18526
0, 1, 4, 1, 0, 0, 0, 4096, 32351
0, 2, 0, 0, 0, 0, 0, 4096, 22675
0, 2, 0, 0, 1, 0, 0, 4096, 17278
0, 2, 0, 0, 2, 0, 0, 4096, 15995
0, 2, 0, 1, 0, 0, 0, 4096, 29699
0, 2, 1, 0, 0, 0, 0, 4096, 19086
0, 2, 1, 0, 1, 0, 0, 4096, 15579
0, 2, 1, 0, 2, 0, 0, 4096, 15762
0, 2, 1, 1, 0, 0, 0, 4096, 33182
0, 2, 2, 0, 0, 0, 0, 4096, 39261
0, 2, 2, 0, 1, 0, 0, 4096, 16507
0, 2, 2, 0, 2, 0, 0, 4096, 15743
0, 2, 2, 1, 0, 0, 0, 4096, 28554
0, 2, 3, 0, 0, 0, 0, 4096, 22892
0, 2, 3, 0, 1, 0, 0, 4096, 19611
0, 2, 3, 0, 2, 0, 0, 4096, 18082
0, 2, 3, 1, 0, 0, 0, 4096, 27829
0, 2, 4, 0, 0, 0, 0, 4096, 21807
0, 2, 4, 0, 1, 0, 0, 4096, 17950
0, 2, 4, 0, 2, 0, 0, 4096, 15848
0, 2, 4, 1, 0, 0, 0, 4096, 38949
0, 3, 0, 0, 0, 0, 0, 4096, 19449
0, 3, 0, 0, 1, 0, 0, 4096, 15919
0, 3, 0, 0, 2, 0, 0, 4096, 15716
0, 3, 0, 1, 0, 0, 0, 4096, 28927
0, 3, 1, 0, 0, 0, 0, 4096, 21050
0, 3, 1, 0, 1, 0, 0, 4096, 18755
0, 3, 1, 0, 2, 0, 0, 4096, 16153
0, 3, 1, 1, 0, 0, 0, 4096, 31796
0, 3, 2, 0, 0, 0, 0, 4096, 21958
0, 3, 2, 0, 1, 0, 0, 4096, 17133
0, 3, 2, 0, 2, 0, 0, 4096, 15726
0, 3, 2, 1, 0, 0, 0, 4096, 39005
0, 3, 3, 0, 0, 0, 0, 4096, 19999
0, 3, 3, 0, 1, 0, 0, 4096, 16311
0, 3, 3, 0, 2, 0, 0, 4096, 16429
0, 3, 3, 1, 0, 0, 0, 4096, 33945
0, 3, 4, 0, 0, 0, 0, 4096, 19626
0, 3, 4, 0, 1, 0, 0, 4096, 18744
0, 3, 4, 0, 2, 0, 0, 4096, 15951
0, 3, 4, 1, 0, 0, 0, 4096, 33981
0, 4, 0, 0, 0, 0, 0, 4096, 19763
0, 4, 0, 0, 1, 0, 0, 4096, 16379
0, 4, 0, 0, 2, 0, 0, 4096, 16010
0, 4, 0, 1, 0, 0, 0, 4096, 30098
0, 4, 1, 0, 0, 0, 0, 4096, 19152
0, 4, 1, 0, 1, 0, 0, 4096, 16160
0, 4, 1, 0, 2, 0, 0, 4096, 16130
0, 4, 1, 1, 0, 0, 0, 4096, 29098
0, 4, 2, 0, 0, 0, 0, 4096, 40536
0, 4, 2, 0, 1, 0, 0, 4096, 20623
0, 4, 2, 0, 2, 0, 0, 4096, 29157
0, 4, 2, 1, 0, 0, 0, 4096, 32538
0, 4, 3, 0, 0, 0, 0, 4096, 19505
0, 4, 3, 0, 1, 0, 0, 4096, 15837
0, 4, 3, 0, 2, 0, 0, 4096, 15770
0, 4, 3, 1, 0, 0, 0, 4096, 33632
0, 4, 4, 0, 0, 0, 0, 4096, 23109
0, 4, 4, 0, 1, 0, 0, 4096, 16728
0, 4, 4, 0, 2, 0, 0, 4096, 15872
0, 4, 4, 1, 0, 0, 0, 4096, 34136

